259903,1,数据库的英文是（）,<p>A、DataBase</p><p>B、DataLibrary</p><p>C、Library</p><p>D、Base</p>,4,A,,13431,1
259904,1,下列叙述错误的是（）,<p>A、数据库实际上就是一个文件集合</p><p>B、数据库存储数据存储效率低</p><p>C、数据库是一个存储数据的仓库</p><p>D、用户可以对数据库中存储的数据进行增删改查操作</p>,4,B,,13431,1
259905,1,在关系型数据库中，数据库表一系列（）的集合,<p>A、对象</p><p>B、一维数组</p><p>C、二维数组</p><p>D、数据元素</p>,4,C,,13431,2
259906,1,在关系型数据库中，数据库表用来存储数据和（）的逻辑结构,<p>A、展示数据</p><p>B、查询数据</p><p>C、定义数据</p><p>D、操作数据</p>,4,D,,13431,3
259907,2,下列属于数据库的作用的是（）,<p>A、数据存取</p><p>B、数据库的建立和维护</p><p>C、数据的传输</p><p>D、数据的生成</p>,4,ABC,,13431,1
259908,2,数据库系统提供对数据的（）和（）,<p>A、约束控制</p><p>B、结构控制</p><p>C、安全控制</p><p>D、完整性控制</p>,4,CD,,13431,1
259909,2,数据库表中，行和列分别成为（）、（）,<p>A、记录</p><p>B、行高</p><p>C、数据</p><p>D、字段</p>,4,AD,,13431,2
259910,2,在关系型数据库中，数据库表用来（）和（）的逻辑结构,<p>A、存储数据</p><p>B、查询数据</p><p>C、定义数据</p><p>D、操作数据</p>,4,AD,,13431,3
260175,1,对数据库进行查询和修改操作的语言是（）,<p>A、JAVA</p><p>B、C语言</p><p>C、C++</p><p>D、SQL</p>,4,D,,13432,1
260176,1,SQL有许多不同类型，有（）个重要标准,<p>A、1</p><p>B、2</p><p>C、3</p><p>D、4</p>,4,C,,13432,1
260177,1,SQL从功能上可以分为3部分：数据定义、数据操纵和（）,<p>A、数据控制</p><p>B、数据解析</p><p>C、数据调控</p><p>D、数据解析</p>,4,A,,13432,2
260178,1,DML的中文含义是（）,<p>A、数据操作语言</p><p>B、数据定义语言</p><p>C、数据分析语言</p><p>D、数据挖掘语言</p>,4,A,,13432,3
260179,2,SQL从功能上可以分为（）,<p>A、数据定义</p><p>B、数据操纵</p><p>C、数据控制</p><p>D、数据解析</p>,4,ABC,,13432,1
260180,2,SQL是一种特殊目的的（），是一种数据库查询和（）,</p><p>A、编程语言</p><p>B、程序设计语言</p><p>C、汇编语言</p><p>D、机器语言</p>,4,AB,,13432,1
260181,2,SQL用于用于存取数据以及（）关系数据库系统,<p>A、查询</p><p>B、更新</p><p>C、管理</p><p>D、优化</p>,4,ABC,,13432,2
260182,2,下列属于SQL分类的是（）,<p>A、DQL</p><p>B、DCL</p><p>C、DML</p><p>D、DDL</p>,4,ABCD,,13432,3
260183,1,MySQL诞生于那个国家（）,<p>A、中国</p><p>B、韩国</p><p>C、美国</p><p>D、日本</p>,4,C,,13433,1
260184,1,MySQL的历史最早可以追溯到（）年,<p>A、1979年</p><p>B、1990年</p><p>C、1996</p><p>D、2000</p>,4,A,,13433,1
260185,1,MySQL最后被（）公司收购的,<p>A、Apple</p><p>B、Oracle</p><p>C、Google</p><p>D、Microsoft</p>,4,B,,13433,2
260186,1,MySQL是一种小型（）数据库系统。,<p>A、非关系</p><p>B、关系</p><p>C、面向对象</p><p>D、面向过程</p>,4,B,,13433,3
260187,2,MySQL是一个真正的（）SQL数据库服务器。,<p>A、多任务</p><p>B、多实例</p><p>C、多线程</p><p>D、多用户</p>,4,CD,,13433,1
260188,2,MySQL具有（）的特点,<p>A、体积小</p><p>B、速度快</p><p>C、开源</p><p>D、收费</p>,4,ABC,,13433,1
260189,2,"MySQL能够运行与多种系统平台上,如（）",<p>A、windows</p><p>B、Linux</p><p>C、unix</p><p>D、mac</p>,4,ABCD,,13433,2
260190,2,使用（）编写，并使用了多种编译器进行测试，保证源代码的可移植性。,<p>A、JAVA</p><p>B、C语言</p><p>C、C++</p><p>D、SQL</p>,4,BC,,13433,3
260191,1,MySQL安装完毕后，需要对（）进行配置,<p>A、客户端</p><p>B、web应用</p><p>C、服务器</p><p>D、二进制文件</p>,4,C,,13434,1
260192,1,MySQL的安装中设置服务器的类型有（）选项,<p>A、1个</p><p>B、2个</p><p>C、3个</p><p>D、4个</p>,4,C,,13434,1
260193,1,在Windows操作系统下，可以通过（）种方式登陆MySQL数据库,<p>A、2</p><p>B、1</p><p>C、3</p><p>D、4</p>,4,A,,13434,2
260194,1,在DOS窗口中可以通过登陆命令连接到MySQL数据库的命令中，-h后面的参数是（）,<p>A、服务器的主机地址</p><p>B、客户端的主机地址</p><p>C、服务器的登陆用户名</p><p>D、服务器的登陆密码</p>,4,A,,13434,3
260195,2,下列不属与MySQL默认用户的是（）,<p>A、sa</p><p>B、root</p><p>C、scott</p><p>D、hr</p>,4,ACD,,13434,1
260196,2,MySQL安装中设置服务器的类型选项有,<p>A、DevelopmentMachine</p><p>B、ServerMachine</p><p>C、DedicateMachine</p><p>D、Server</p>,4,ABC,,13434,1
260197,2,如果MySQL数据库服务器的客户端和服务器在同一机器上，-h后面的参数可以输入（）,<p>A、admin</p><p>B、localhost</p><p>C、127.0.0.1</p><p>D、root</p>,4,BC,,13434,2
260198,2,在windows操作系统下，登陆MySQL数据库可以使用（）,<p>A、直接登陆</p><p>B、windows命令行登陆</p><p>C、MySQLCommandLineClient登陆</p><p>D、MySQLClient</p>,4,BC,,13434,3
260199,1,在Windows操作系统下，可以通过（）种方式登陆MySQL数据库,<p>A、2</p><p>B、1</p><p>C、3</p><p>D、4</p>,4,A,,13435,1
260200,1,在DOS窗口中可以通过登陆命令连接到MySQL数据库的命令中，-h后面的参数是（）,<p>A、服务器的主机地址</p><p>B、客户端的主机地址</p><p>C、服务器的登陆用户名</p><p>D、服务器的登陆密码</p>,4,A,,13435,1
260201,1,手动启动MySQL数据库时打开服务窗口的命令是（）,<p>A、mspaint</p><p>B、paint</p><p>C、service.msc</p><p>D、services.msc</p>,4,D,,13435,2
260202,1,硬盘响应速度会影响MySQL的（）速度,<p>A、读速度</p><p>B、写速度</p><p>C、读写速度</p><p>D、加载速度</p>,4,C,,13435,3
260203,2,如果MySQL数据库服务器的客户端和服务器在同一机器上，-h后面的参数可以输入（）,<p>A、admin</p><p>B、localhost</p><p>C、127.0.0.1</p><p>D、root</p>,4,BC,,13435,1
260204,2,在windows操作系统下，登陆MySQL数据库可以使用（）,<p>A、直接登陆</p><p>B、windows命令行登陆</p><p>C、MySQLCommandLineClient登陆</p><p>D、MySQLClient</p>,4,BC,,13435,1
260205,2,MySQL常用的图形化工具为（）,<p>A、SQLyog</p><p>B、Navicat</p><p>C、MySQLWorkbench</p><p>D、plsqldeveloper</p>,4,ABC,,13435,2
260206,2,MySQL数据库登陆命令中需要用到的参数为（）,<p>A、-u</p><p>B、-d</p><p>C、-p</p><p>D、-f</p>,4,AC,,13435,3
260207,1,MySQL完成后，将会在（）目录下自动创建几个必须数据库,<p>A、base</p><p>B、date</p><p>C、data</p><p>D、db</p>,4,C,,13436,1
260208,1,在MySQL中，数据库列表中有（）数据库是MySQL必须的,<p>A、4个</p><p>B、5个</p><p>C、6个</p><p>D、7个</p>,4,C,,13436,1
260209,1,在MySQL中，用户经常使用（）数据库做测试的工作,<p>A、information</p><p>B、innodb</p><p>C、exam</p><p>D、test</p>,4,D,,13436,2
260210,1,在MySQL中，数据库创建好之后，可以使用（）CREATEDATABASE数据库名,<p>A、SHOW</p><p>B、SHOWS</p><p>C、LOOK</p><p>D、LOOKS</p>,4,A,,13436,3
260211,2,在MySQL中，创建数据库需要使用的关键字是（）,<p>A、CREATE</p><p>B、DATABASE</p><p>C、SHOW</p><p>D、DATA</p>,4,AB,,13436,1
260212,2,<p>在MySQL中，查看数据库需要使用的关键字是（）</p>,"<p>A、DATABASES</p>

<p>B、DATABASE</p>

<p>C、SHOW</p>

<p>D、DATA</p>",4,AC,,13436,1
260213,2,在MySQL中，创建数据库是在系统磁盘上划分区域用于数据的（）,<p>A、定义</p><p>B、存储</p><p>C、管理</p><p>D、解析</p>,4,BC,,13436,2
260214,2,在MySQL中，属于MySQL原有数据库的是（）,<p>A、test</p><p>B、mysql</p><p>C、imformation_schema</p><p>D、performance_schema</p>,4,ABCD,,13436,3
260215,1,在MySQL中，删除数据库使用的关键字是（）,<p>A、DROP</p><p>B、DELETE</p><p>C、REMOVE</p><p>D、MOVE</p>,4,A,,13437,1
260216,1,在MySQL中，删除数据库是在已经存在的数据库从（）清除,<p>A、MySQL</p><p>B、内存</p><p>C、CPU</p><p>D、磁盘空间</p>,4,D,,13437,1
260217,1,在MySQL中，如果删除的数据库名称不存在，则（）,<p>A、无反应</p><p>B、给出错误信息</p><p>C、提交</p><p>D、回滚</p>,4,B,,13437,2
260218,1,在MySQL中，如果想删除数据库应该使用（）关键字,<p>A、DROP</p><p>B、RENAME</p><p>C、DELETE</p><p>D、KILL</p>,4,A,,13437,3
260219,2,在MySQL中，删除数据库需要使用的关键字是（）,<p>A、DROP</p><p>B、DATABASE</p><p>C、DATA</p><p>D、DELETE</p>,4,AB,,13437,1
260220,2,在MySQL中，误删除（）数据库，会导致MySQL无法正常工作,<p>A、test</p><p>B、mysql</p><p>C、imformation_schema</p><p>D、performance_schema</p>,4,BC,,13437,1
260221,2,在MySQL中，属于删除和新建数据的关键字有（）,<p>A、CREATE</p><p>B、ADD</p><p>C、DELETE</p><p>D、DROP</p>,4,AD,,13437,2
260222,2,在MySQL中，下列不属于测试数据库的有（）,<p>A、test</p><p>B、mysql</p><p>C、imformation_schema</p><p>D、performance_schema</p>,4,BCD,,13437,3
260223,1,在MySQL中，TINYINT的存储需求为（）,<p>A、1兆</p><p>B、10兆</p><p>C、10字节</p><p>D、1字节</p>,4,D,,13438,1
260224,1,在MySQL中，SMALLINT的存储需求为（）,<p>A、2兆</p><p>B、20兆</p><p>C、2字节</p><p>D、20字节</p>,4,C,,13438,1
260225,1,在MySQL中，INT的存储需求为（）,<p>A、4兆</p><p>B、40兆</p><p>C、4字节</p><p>D、40字节</p>,4,C,,13438,2
260226,1,在MySQL中，BIGINT存储需求为（）,<p>A、8兆</p><p>B、80兆</p><p>C、8字节</p><p>D、80字节</p>,4,C,,13438,3
260227,2,在MySQL中，使用（）表示小数,<p>A、整点数</p><p>B、浮点数</p><p>C、定点数</p><p>D、零点数</p>,4,BC,,13438,1
260228,2,在MySQL中，浮点类型包括（）,<p>A、INT</p><p>B、FLOAT</p><p>C、DOUBLE</p><p>D、INTEGER</p>,4,BC,,13438,1
260229,2,在MySQL中，DECIMAL类型的取值范围由（）决定,<p>A、精度</p><p>B、标度</p><p>C、位数</p><p>D、长度</p>,4,AB,,13438,2
260230,2,在MySQL中，浮点数分为（）,<p>A、单精度浮点型</p><p>B、多精度浮点型</p><p>C、双精度浮点型</p><p>D、准确度浮点型</p>,4,AC,,13438,3
260231,1,在MySQL中，以下表示可变长度字符串的数据类型是（）,<p>A、年</p><p>B、月</p><p>C、时间</p><p>D、分</p>,4,A,,13439,1
260232,1,在MySQL中，DATE类型存储数据的格式为（）,<p>A、YYYY</p><p>B、YY-M-D</p><p>C、YY-MM-DD</p><p>D、YYYY-MM-DD</p>,4,D,,13439,1
260233,1,在MySQL中，MySQL以（）格式检索和显示Time值,<p>A、H:M:S</p><p>B、HH:M:S</p><p>C、HH:MM:S</p><p>D、HH:MM:SS</p>,4,D,,13439,2
260234,1,MySQL服务器采用了Unix的时间功能，对于TIMESTAMP值，可处理至（）年,<p>A、2033</p><p>B、2034</p><p>C、2037</p><p>D、2040</p>,4,C,,13439,3
260235,2,下列属于MySQL中日期时间类型的是（）,<p>A、DATETIME</p><p>B、DATE</p><p>C、YEAR</p><p>D、TIMESTAMP</p>,4,ABCD,,13439,1
260236,2,在MytSQL中（）类型，可接受的日期可至9999年,<p>A、DATETIME</p><p>B、DATE</p><p>C、YEAR</p><p>D、TIMESTAMP</p>,4,AB,,13439,1
260237,2,在MySQL中，DATETIME类型用来存储包含（）的值,<p>A、日期</p><p>B、时间</p><p>C、时区</p><p>D、毫秒数</p>,4,AB,,13439,2
260238,2,在MySQL中，DATETIME类型是以（）表示的值,<p>A、YYYY-MM-DDHH;MM:SS</p><p>B、YYYY-MM-DDHH;M:S</p><p>C、YYYYMMDDHHMMSS</p><p>D、YYYY-MM-DDH;M:S</p>,4,AC,,13439,3
260239,1,在MySQL中，以下表示可变长度字符串的数据类型是（）,<p>A、TEXT</p><p>B、CHAR</p><p>C、VARCHAR</p><p>D、ENUM</p>,4,C,,13440,1
260240,1,在MySQL中，ENUM代表什么（）,<p>A、依赖于M和D的值</p><p>B、不允许在集合中取得一个值或使用null值</p><p>C、无用</p><p>D、类似单选项</p>,4,D,,13440,1
260241,1,在MySQL中，以下表示固定长度字符串的数据类型是（）,<p>A、TEXT</p><p>B、CHAR</p><p>C、VARCHAR</p><p>D、ENUM</p>,4,B,,13440,2
260242,1,在MySQL中，下列类型不能表示字符串的是(）,<p>A、CHAR</p><p>B、VARCHAR</p><p>C、TEXT</p><p>D、STRING</p>,4,D,,13440,3
260243,2,在MySQL中，支持（）字符型数据,<p>A、文本字符串</p><p>B、字节字符串</p><p>C、二进制字符串</p><p>D、字符串</p>,4,AC,,13440,1
260244,2,在MySQL中，TEXT类型的分类是（）,<p>A、TINYTEXT</p><p>B、TEXT</p><p>C、MEDIUMTEXT</p><p>D、LONGTEXT</p>,4,ABCD,,13440,1
260245,2,在MySQL中，属于文本类型字符串的是（）,<p>A、CHAR</p><p>B、VARCHAR</p><p>C、TEXT</p><p>D、BIGINT</p>,4,ABC,,13440,2
260246,2,在MySQL中，TEXT类型的适用范围（）,<p>A、图片</p><p>B、视频</p><p>C、文章内容</p><p>D、评论</p>,4,CD,,13440,3
260247,1,在MySQL中，2=2的结果为（）,<p>A、2</p><p>B、1</p><p>C、0</p><p>D、4</p>,4,B,,13441,1
260248,1,"在MySQL中，\'2\'=2的结果为（）",<p>A、2</p><p>B、1</p><p>C、0</p><p>D、4</p>,4,B,,13441,1
260249,1,在MySQL中，(1+3)=2+2结果为（）,<p>A、2</p><p>B、1</p><p>C、0</p><p>D、4</p>,4,B,,13441,2
260250,1,在MySQL中，NULL<=>NULL结果为（）,<p>A、2</p><p>B、0</p><p>C、1</p><p>D、4</p>,4,C,,13441,3
260251,2,在MySQL中，逻辑非运算符用（）表示,<p>A、IN</p><p>B、NOT</p><p>C、!</p><p>D、&&</p>,4,BC,,13441,1
260252,2,在MySQL中，逻辑与运算符用（）表示,<p>A、IN</p><p>B、OR</p><p>C、AND</p><p>D、&&</p>,4,CD,,13441,1
